sentence_index	sentence
0	Oczywiście . Mam tylko konie robocze i dwa jeszcze nie całkiem ujeżdżone .
1	Pomocnik , który je ujeżdżał zranił się i musiał pojechać do miasta .
2	- Och . Wybrał się w drogę , a my tu mamy gościa .
3	Przykro mi , że mój mąż wybrał się dziś szukać tych zagubionych cieląt .
4	Ponieważ nie chcę , aby natychmiast mnie zrzucił i stał nade mną .
5	Cóż , potrafię zrobić niemal wszystko na ranchu , ale nigdy nie umiałam naostrzyć siekiery .
6	Jego rodzice zginęli w czasie napadu na wozy osadników więc mój ojciec przygarnął go .
7	Samotny młody chłopak na obszarze 1000 mil i samotna dziewczyna na obszarze 1000 mil .
8	Cóż , chyba będzie lepiej jeśli przestanę marnować czas i wrócę do konia .
9	Doprawdy , panie Lane , jeśli wiedział pan , że pies mógłby ugryźć , pomyślałabym ...
10	Pani Lowe , ludzie uczą się na błędach . Mały właśnie się nauczył .
11	Pewnie wróci do domu późno w nocy albo zaobozuje na wzgórzach i wróci do domu po pana wyjeździe .
12	Będzie mu bardzo przykro , że się rozminął z tak rzadkim gościem .
13	- Nie rozumiem pana . Te konie nie były podkuwane od wielu miesięcy .
14	A puszka , pięciofuntowa puszka na herbatę w pani domu jest pusta .
15	Niech pan posłucha , panie Lane , nie sądzę , aby miał pan prawo ... Nie mówię o prawie .
16	Boi się pani , że coś jej z mojej strony grozi , jeśli męża nie ma w domu ?
17	Pani Lowe , jeśli pani ma odrobinę zdrowego rozsądku spakuje pani siebie i swojego chłopaka i pojedzie ze mną .
18	Lecz pan nie wie , że zawsze bardzo dobrze zgadzaliśmy się z Apaczami .
19	U nas pili i poili swoje konie w naszym źródle przed wyruszeniem na północ na polowanie na bizony .
20	Nigdy nie widziałam wielkiego Vittorio , ale tu są całe gromady Apaczów .
21	W języku Apaczów nie ma słowa `` kłamstwo '' , a oni zostali okłamani .
22	- Oni nie będą mnie niepokoić . To znaczy , nas . Zawsze żyliśmy w zgodzie .
23	Ludzie , których znam , mąż i żona , naprawdę dobrze się zgadzali przez 20 lat .
24	Aż pewnego dnia ona wstała i zrobiła w nim dziurę wystarczająco dużą , by przejechał przez nią dyliżans .
25	Cóż . Ja nie muszę się o to martwić , jestem tego pewna .
26	Najpierw trzeba postarać się o szczeniaka , a potem wynająć potulnego Indianina i wyciąć wierzbową rózgę .
27	Potem każe się Indianinowi chłostać szczeniaka rózgą 4 albo 5 razy na dzień .
28	W gruncie rzeczy , Indianie potrafią wyczuć białego . - Nie wierzę w to . - No cóż , ale to prawda .
29	W części sam jestem Indianinem i czuję ciebie , gdy wiatr wieje w moją stronę .
30	To kiepski pomysł celować jedną z tych rzeczy w kogokolwiek z pustą komorą nabojową pod iglicą .
31	Powinnam go obudzić , żeby się pożegnał . Na pani miejscu , pozwoliłbym mu spać .
32	Indiańskie słowa oznaczają dźwięk i odczucie słowa , na przykład przełom świtu , pierwsze brązowe światło które sprawia , że pagórki odznaczają się od szarej pustyni .
33	Usłyszany pierwszy szum potoku wijącego się wśród wzgórz i pluskanie pstrągów .
34	To tak , jakby wstać z pierwszym światłem tylko ty i ona i ty wychodzisz z wigwamu .
35	Jest tam zapach dymu i czegoś dyskretnego , tylko ty i ona , i coś bezpiecznego i nas dwoje .
36	Stając tam , na zewnątrz czuje się kąsanie wiatru nadchodzącego z wysokich przełęczy zapowiadającego śnieg .
37	Nie da się tego powiedzieć po angielsku , ale to właśnie było jej imię .
38	Mam paskudny zwyczaj mówienia prawdy . Ale sama uroda to za mało .
39	Znam mnóstwo urodziwych ludzi , którym bym nie powierzył zepsutego , niklowanego zegarka .
40	Ale inni , mają coś takiego w sobie że wiesz , że możesz im ufać .
41	Może także dlatego , że nienawidzę myśli o twoich włosach zwisających z pala na środku obozu Apaczów .
42	Dawno temu przyjąłem zasadę pozwolić ludziom , by robili to co chcą .
43	Mam nadzieję , że pewnego dnia ktoś zaprzyjaźni się z twoimi synami .
44	Mogę wszystko powiedzieć tak samo dobrze jak on . Z północy nie ma żadnych wieści .
45	Kawaleria powinna chronić osadników . Na północy mam stado bydła i nie zamierzam ...
46	Oddział C przeczesuje teren na północy i ma eskortować osadników , których znajdzie .
47	- Obejdź go . Powieszą mnie jeśli zejdę z drogi przed jakimś kundlem .
48	- Cześć , Hondo . Pękło mi serce , kiedy usłyszałem , że ci się udało .
49	On może być wrednym , prostackim synem kogokolwiek zechcesz wymienić ale na pewno nie jest złodziejem koni .
50	To nie jest dobre dla Małego Wojownika być bez ojca , który nauczy go jak być mężczyzną .
51	Mieć sześć koni i dwie żony , ale jedna stara i wkrótce umrze .
52	Tak , wiele . Wkrótce twój . Skalp mężczyzny będzie tam nie na miejscu .
